MaxPos,target
12.0666666666667,6.5
18.5,6.5
12.1333333333333,6.5
12.6333333333333,6.5
12.0666666666667,6.5
9.73333333333333,6.5
6.5,6.5
6.36666666666667,6.5
17.9,6.5
5.76666666666667,6.5
6.96666666666667,6.5
6.4,6.5
6.63333333333333,6.5
6.4,6.5
6.4,6.5
10.2333333333333,6.5
7.36666666666667,6.5
6.2,6.5
6,6
5.96666666666667,6
13.2333333333333,6
17.7333333333333,6
5.93333333333333,6
11.9666666666667,6
6.76666666666667,6
11.1,6
12.2,6
6.36666666666667,6
18.1666666666667,6
6,6
15.8333333333333,6
17.0333333333333,6
12.1,6
11.1,6
6,6
12.4666666666667,6
12.8666666666667,6
12,6
14.6666666666667,6
6.03333333333333,6
12,6
11.0333333333333,6
12.8,6
5.73333333333333,6
12,6
12,6
12.4666666666667,6
7.4,6
12.3333333333333,6
11.4666666666667,6
11.9666666666667,6
8.43333333333333,6
6.06666666666667,6
5.96666666666667,6
15.0333333333333,7.5
7.43333333333333,7.5
7.53333333333333,7.5
7.53333333333333,7.5
7.53333333333333,7.5
15.1333333333333,7.5
7.5,7.5
7.5,7.5
7.53333333333333,7.5
7.5,7.5
7.56666666666667,7.5
13.3,7.5
7.53333333333333,7.5
7.5,7.5
7.5,7.5
9.43333333333333,7.5
15.0333333333333,7.5
15.0333333333333,7.5
11.9666666666667,7
14.5666666666667,7
6.96666666666667,7
7.06666666666667,7
9.33333333333333,7
14.6333333333333,7
7.03333333333333,7
13.9666666666667,7
13.8666666666667,7
5.76666666666667,7
10.8666666666667,7
11.7666666666667,7
14.0333333333333,7
12.6333333333333,7
7,7
6.76666666666667,7
13.9666666666667,7
10.7,7
8.2,8.2
8.16666666666667,8.2
8.2,8.2
8.2,8.2
8.23333333333333,8.2
8.16666666666667,8.2
8.16666666666667,8.2
11.5666666666667,8.2
8.16666666666667,8.2
6.53333333333333,8.2
16.4,8.2
8.2,8.2
11.6333333333333,8.2
8.2,8.2
20.3,8.2
8.2,8.2
14.7,8.2
10.4666666666667,8.2
9.33333333333333,9.3
9.36666666666667,9.3
9.33333333333333,9.3
11.5333333333333,9.3
9.36666666666667,9.3
6.36666666666667,9.3
12.3666666666667,9.3
9.36666666666667,9.3
9.36666666666667,9.3
12.2333333333333,9.3
11.1666666666667,9.3
9.33333333333333,9.3
14.3333333333333,9.3
9.4,9.3
12.7,9.3
9.3,9.3
9.33333333333333,9.3
14.2666666666667,9.3
9.96666666666667,6.5
10,6.5
10,6.5
10,6.5
